NO,gender,height,weight,fat_kg,mm_kg,somatotype
162,1,169.96,83.4,14,65.6,1
163,1,182.7,91.1,20.4,66.7,1
164,1,157.18,52.6,11.9,38.5,1
165,1,173.25,71.4,11.5,56.8,1
166,2,164.81,50.9,15,33.8,0
167,2,164.5,69.8,25,42.2,0
168,2,152.95,70,34,33.9,0
169,2,165.11,75,25.8,46.4,0
170,2,159.48,68.5,24,41.9,0
171,2,158.23,85.8,38.4,44.7,1
172,2,158.01,66.7,27.3,41.8,0
173,2,156.46,71.6,27.4,37,0
174,2,155.82,65.3,25.1,37.9,0
175,2,169.41,65.7,21.2,41.9,0
176,2,165.27,58.9,14,42.3,0
177,2,163.5,57.9,16.6,38.9,0
178,2,172.8,73.1,20.7,49.3,0
179,2,171.42,79.2,31,45.3,0
180,2,154,71.4,33.4,35.7,1
181,2,157.21,70.5,28.3,39.9,1
182,2,167.99,74.8,27.1,44.8,0
183,2,155.66,55.6,17.5,35.9,0
184,2,158.38,56.9,16.8,37.8,0
185,2,163.69,106.6,53.3,50.1,1
186,2,163.88,67.9,22.6,42.6,0
187,2,152.33,74.7,32.2,40.2,0
188,2,167.7,61.8,17.5,41.6,0
189,2,164.73,61.1,21,37.7,0
190,2,161.5,64.9,24.9,37.6,0
191,2,160.12,50.1,11.6,36,0
192,2,161.79,63.6,21.2,39.9,0
193,2,164.7,59.4,15.5,41.3,0
194,2,166.9,71.3,27.7,41,0
195,2,155.06,45.2,10.5,32.7,0
196,2,157.13,58.8,22.9,33.7,0
197,2,162.47,58.9,24.3,32.3,0
198,2,169.29,63,21,39.5,0
199,2,169.79,54.2,11.4,40.3,0
200,2,152.33,45.7,15,28.9,0
201,2,164.37,58.7,16.9,39.4,0
202,2,157.07,48.3,10.4,35.7,0
203,2,158.32,47.6,10.5,34.8,0
204,2,150.17,52.3,19,31.4,0
205,2,163.84,51.9,12.1,37.5,0
206,2,169.5,53.3,10.1,40.7,0
207,2,157.94,50.4,16.4,32,0
208,2,152.4,50.4,14.3,34,0
209,2,168.07,71.6,29.9,39.2,0
210,2,157.9,57.8,17.8,34.7,0
211,2,162.54,54.8,21.5,34.1,0
212,2,163.84,66.2,22.7,41,0
213,2,152.64,50.3,15.9,32.3,0
214,2,160.07,46.1,14.6,29.6,0
215,2,158.36,56.4,21.1,33.2,0
216,2,144.31,46.7,16.3,28.7,0
217,2,171.62,63.8,21.3,39.8,0
218,2,163.68,55.9,20.1,33.6,0
219,2,154.03,55.4,21.2,32.1,0
220,2,172.84,65.4,17.5,45.1,0
221,2,158.4,51.6,12.7,36.7,0
222,2,153.25,50.9,15.9,33,0
223,2,157.84,57.7,19.3,36.1,0
224,2,165.47,81.7,31.9,47,1
225,2,161.03,76.9,36.2,38.2,0
226,1,188.01,136.6,52.2,79.3,1
227,1,172.01,67.6,14.7,49.9,0
228,1,163.48,63.4,15.7,45.1,1
229,1,166.6,66.7,15.4,48.4,0
230,1,166.54,90.9,37.7,50.4,1
231,1,171.01,84.9,16.5,40.7,0
232,1,161.96,59.2,15.5,46,0
233,1,168.56,64,21.3,59.9,1
234,1,174.46,74.8,19.4,52.4,0
235,1,169.37,62.7,15.7,44.5,0
236,1,184.01,92.6,20.8,67.8,0
237,1,168.78,70.5,15.7,51.8,1
238,1,194.19,109.9,16.1,51.7,0
239,1,176.1,71.7,24.4,80.5,0
240,1,169.24,70.7,18,51,0
241,1,182.03,71,17.3,49.9,0
242,1,168.45,78,23.9,51.4,0
243,1,172.11,82.4,26.1,53,1
244,1,190.02,98.6,23.9,70.4,0
245,1,169.56,63.4,12.4,48.2,0
246,1,165.22,68.9,16.4,49.7,1
247,1,172.19,64.6,12.1,49.6,0
248,1,168.63,82.8,30.2,49.7,0
249,1,183.79,89.5,23.5,62.3,0
250,1,176.91,78.1,18.9,55.9,0
251,2,159.01,68.4,30.1,36,0
252,2,159.03,66.7,22.8,41.3,0
253,2,161.57,72.9,26.8,43.5,0
254,2,161.61,76.5,32.5,41.4,0
255,2,173.95,78.3,31.1,44.2,0
256,2,163.31,78.4,34.5,41.7,0
257,2,159.77,50.4,13.3,34.7,0
258,2,153.07,45.8,12.7,31.1,0
259,2,165.1,60.8,22.8,36,0
260,2,154.32,54.8,16.6,35.9,0
261,2,148.18,48.7,14,32.7,0
262,2,156.3,59.7,22.1,35.3,0
263,2,159.31,51.7,12.2,37.2,0
264,2,155.12,80.8,39.1,39.3,0
265,2,160.36,51.4,19.5,30.5,1
266,2,160.2,49.6,15.7,31.5,0
267,2,158.85,84.1,37.5,43.8,1
268,2,158.74,49.8,13.8,33.6,0
269,2,157.73,52.9,17.9,33,0
270,2,160.18,57.6,17.6,37.6,0
271,2,179.48,70.3,17.2,49.8,0
272,2,162.96,55.1,16.7,36,0
273,2,158.62,83.9,36.3,44.9,1
274,2,150.02,44.1,33.1,51,0
275,2,175.22,87.4,10.9,31.2,0
