level_0,index,ScheduleID,CompanyID,HomeWin,Standoff,GuestWin,ModifyTime,Company_name
165,846,371333,35,2.12,3.16,3.31,2010-02-27 11:11:00.000,wewbet
40,721,371333,19,2.23,3.2,3.2,2010-02-27 12:05:00.000,interwetten
39,720,371333,19,2.23,3.2,3.15,2010-02-27 12:06:00.000,interwetten
37,718,371333,22,2.25,3.2,3.1,2010-02-27 12:06:00.000,10bet
38,719,371333,19,2.25,3.2,3.1,2010-02-27 12:08:00.000,interwetten
164,845,371333,35,2.12,3.17,3.32,2010-02-27 12:10:00.000,wewbet
26,707,371333,17,2.25,3.2,3.1,2010-02-27 12:14:00.000,mansion88
36,717,371333,22,2.28,3.2,3.0,2010-02-27 12:15:00.000,10bet
37,718,371333,19,2.28,3.2,3.0,2010-02-27 12:17:00.000,interwetten
163,844,371333,35,2.12,3.16,3.31,2010-02-27 12:20:00.000,wewbet
35,716,371333,22,2.26,3.2,3.1,2010-02-27 12:29:00.000,10bet
36,717,371333,19,2.26,3.2,3.1,2010-02-27 12:30:00.000,interwetten
35,716,371333,19,2.25,3.2,3.1,2010-02-27 12:40:00.000,interwetten
34,715,371333,22,2.19,3.2,3.2,2010-02-27 12:41:00.000,10bet
34,715,371333,19,2.19,3.2,3.2,2010-02-27 12:43:00.000,interwetten
162,843,371333,35,2.1,3.17,3.38,2010-02-27 12:43:00.000,wewbet
7,688,371333,8,2.2,3.1,3.3,2010-02-27 12:45:00.000,Bet365
161,842,371333,35,2.1,3.17,3.37,2010-02-27 12:50:00.000,wewbet
33,714,371333,19,2.17,3.2,3.25,2010-02-27 12:51:00.000,interwetten
33,714,371333,22,2.17,3.2,3.25,2010-02-27 12:51:00.000,10bet
25,706,371333,17,2.21,3.2,3.15,2010-02-27 12:52:00.000,mansion88
0,681,371333,1,2.18,3.08,3.37,2010-02-27 12:53:00.000,Macauslot
160,841,371333,35,2.11,3.12,3.41,2010-02-27 12:54:00.000,wewbet
32,713,371333,19,2.16,3.2,3.25,2010-02-27 12:57:00.000,interwetten
9,690,371333,12,2.18,3.3,3.48,2010-02-27 12:59:00.000,easybet
6,687,371333,8,2.13,3.15,3.4,2010-02-27 13:00:00.000,Bet365
